Op Number,Percent Completion (Old),Time (ms),Old (bytes),Initial,Time (ms),Iterator (bytes),Percent Completion (Iterator),Iterator Ops,Time (ms),Percent Completion (8bit),New (bytes),uint8_t Buffers
174,1.08%,11999,241840896,230.63745,5406,241840896,4%,230.63745,5188,4%,212939520,203.07495
175,1.09%,11999,241971968,230.76245,5406,241971968,4%,230.76245,5188,4%,213070592,203.19995
176,1.10%,11999,242103040,230.88745,5406,242103040,4%,230.88745,5189,4%,213201664,203.32495
177,1.10%,12061,242234112,231.01245,5468,242234112,4%,231.01245,5250,4%,213234432,203.35620
178,1.11%,12061,242365184,231.13745,5468,242365184,4%,231.13745,5251,4%,213267200,203.38745
179,1.12%,12061,242496256,231.26245,5469,242496256,4%,231.26245,5251,4%,213398272,203.51245
180,1.12%,12061,242627328,231.38745,5469,242627328,4%,231.38745,5251,4%,213529344,203.63745
181,1.13%,12061,242758400,231.51245,5469,242758400,4%,231.51245,5251,4%,213660416,203.76245
182,1.13%,12061,242889472,231.63745,5469,242889472,4%,231.63745,5251,4%,213791488,203.88745
183,1.14%,12062,252326656,240.63745,5469,252326656,4%,240.63745,5251,4%,223228672,212.88745
184,1.15%,12062,261763840,249.63745,5469,261763840,4%,249.63745,5251,4%,232665856,221.88745
185,1.15%,12062,261765888,249.63940,5469,261765888,4%,249.63940,5251,4%,232667904,221.88940
186,1.16%,12062,261767936,249.64136,5469,261767936,4%,249.64136,5251,4%,232669952,221.89136
187,1.17%,12062,261899008,249.76636,5469,261899008,4%,249.76636,5251,4%,232801024,222.01636
188,1.17%,12062,262030080,249.89136,5469,262030080,4%,249.89136,5251,4%,232932096,222.14136
189,1.18%,12062,262161152,250.01636,5469,262161152,4%,250.01636,5251,4%,233063168,222.26636
190,1.18%,12062,262292224,250.14136,5469,262292224,4%,250.14136,5251,4%,233194240,222.39136
191,1.19%,12124,262423296,250.26636,5534,262423296,4%,250.26636,5315,4%,233227008,222.42261
192,1.20%,12124,262554368,250.39136,5534,262554368,4%,250.39136,5315,4%,233259776,222.45386
193,1.20%,12124,262685440,250.51636,5534,262685440,5%,250.51636,5315,4%,233390848,222.57886
194,1.21%,12124,262816512,250.64136,5534,262816512,5%,250.64136,5315,5%,233521920,222.70386
195,1.22%,12124,262947584,250.76636,5534,262947584,5%,250.76636,5315,5%,233652992,222.82886
196,1.22%,12124,263078656,250.89136,5534,263078656,5%,250.89136,5315,5%,233784064,222.95386
197,1.23%,12124,272515840,259.89136,5534,272515840,5%,259.89136,5315,5%,243221248,231.95386
198,1.23%,12124,281953024,268.89136,5534,281953024,5%,268.89136,5315,5%,252658432,240.95386
199,1.24%,12124,281955072,268.89331,5534,281955072,5%,268.89331,5315,5%,252660480,240.95581
200,1.25%,12124,281957120,268.89526,5534,281957120,5%,268.89526,5315,5%,252662528,240.95776
201,1.25%,12124,282088192,269.02026,5534,282088192,5%,269.02026,5315,5%,252793600,241.08276
202,1.26%,12124,282219264,269.14526,5535,282219264,5%,269.14526,5315,5%,252924672,241.20776
203,1.27%,12125,282350336,269.27026,5535,282350336,5%,269.27026,5316,5%,253055744,241.33276
204,1.27%,12125,282481408,269.39526,5535,282481408,5%,269.39526,5316,5%,253186816,241.45776
205,1.28%,12188,282612480,269.52026,5598,282612480,5%,269.52026,5382,5%,253219584,241.48901
206,1.28%,12188,282743552,269.64526,5598,282743552,5%,269.64526,5382,5%,253252352,241.52026
207,1.29%,12188,282776320,269.67651,5598,282776320,5%,269.67651,5382,5%,253285120,241.55151
208,1.30%,12188,282809088,269.70776,5598,282809088,5%,269.70776,5382,5%,253317888,241.58276
209,1.30%,12188,282841856,269.73901,5598,282841856,5%,269.73901,5382,5%,253350656,241.61401
210,1.31%,12188,282874624,269.77026,5598,282874624,5%,269.77026,5382,5%,253383424,241.64526
211,1.32%,12188,282907392,269.80151,5598,282907392,5%,269.80151,5382,5%,253391616,241.65308
212,1.32%,12188,282940160,269.83276,5598,282940160,5%,269.83276,5382,5%,253399808,241.66089
213,1.33%,12188,282972928,269.86401,5598,282972928,5%,269.86401,5382,5%,253432576,241.69214
214,1.33%,12188,283005696,269.89526,5598,283005696,5%,269.89526,5382,5%,253465344,241.72339
215,1.34%,12188,283038464,269.92651,5598,283038464,5%,269.92651,5382,5%,253498112,241.75464
216,1.35%,12188,283071232,269.95776,5598,283071232,5%,269.95776,5382,5%,253530880,241.78589
217,1.35%,12188,299848448,285.95776,5598,299848448,5%,285.95776,5382,5%,270308096,257.78589
218,1.36%,12188,316625664,301.95776,5598,316625664,5%,301.95776,5382,5%,287085312,273.78589
219,1.37%,12188,316633856,301.96558,5598,316633856,5%,301.96558,5382,5%,287093504,273.79370
220,1.37%,12188,316642048,301.97339,5598,316642048,5%,301.97339,5382,5%,287101696,273.80151
221,1.38%,12188,316674816,302.00464,5598,316674816,5%,302.00464,5382,5%,287134464,273.83276
222,1.38%,12188,316707584,302.03589,5598,316707584,5%,302.03589,5382,5%,287167232,273.86401
223,1.39%,12188,316740352,302.06714,5598,316740352,5%,302.06714,5382,5%,287200000,273.89526
224,1.40%,12188,316773120,302.09839,5598,316773120,5%,302.09839,5382,5%,287232768,273.92651
225,1.40%,12293,316805888,302.12964,5704,316805888,5%,302.12964,5492,5%,287240960,273.93433
226,1.41%,12293,316838656,302.16089,5704,316838656,5%,302.16089,5492,5%,287249152,273.94214
227,1.42%,12293,316871424,302.19214,5704,316871424,5%,302.19214,5492,5%,287281920,273.97339
228,1.42%,12293,316904192,302.22339,5704,316904192,5%,302.22339,5492,5%,287314688,274.00464
229,1.43%,12293,316936960,302.25464,5704,316936960,5%,302.25464,5492,5%,287347456,274.03589
230,1.43%,12293,316969728,302.28589,5704,316969728,5%,302.28589,5492,5%,287380224,274.06714
231,1.44%,12294,333746944,318.28589,5704,333746944,5%,318.28589,5493,5%,304157440,290.06714
232,1.45%,12294,350524160,334.28589,5704,350524160,5%,334.28589,5493,5%,320934656,306.06714
233,1.45%,12294,350532352,334.29370,5704,350532352,5%,334.29370,5493,5%,320942848,306.07495
234,1.46%,12294,350540544,334.30151,5704,350540544,5%,334.30151,5493,5%,320951040,306.08276
235,1.47%,12294,350573312,334.33276,5704,350573312,6%,334.33276,5493,5%,320983808,306.11401
236,1.47%,12294,350606080,334.36401,5704,350606080,6%,334.36401,5493,5%,321016576,306.14526
237,1.48%,12294,350638848,334.39526,5704,350638848,6%,334.39526,5493,6%,321049344,306.17651
238,1.48%,12294,350671616,334.42651,5704,350671616,6%,334.42651,5493,6%,321082112,306.20776
239,1.49%,12405,350704384,334.45776,5807,350704384,6%,334.45776,5596,6%,321090304,306.21558
240,1.50%,12405,350737152,334.48901,5807,350737152,6%,334.48901,5596,6%,321098496,306.22339
241,1.50%,12405,350769920,334.52026,5807,350769920,6%,334.52026,5597,6%,321131264,306.25464
242,1.51%,12405,350802688,334.55151,5807,350802688,6%,334.55151,5597,6%,321164032,306.28589
243,1.52%,12405,350835456,334.58276,5807,350835456,6%,334.58276,5597,6%,321196800,306.31714
